RERG
PARP12
syn3
ptpro
eps8
tbk1
gpr19
crebl2
dusp16
lrp6
mansc1
si:zfos-932h1.2
CU856344.1
prr5b
phtf2
ptpn12
CABZ01088622.1
echdc3
msgn1
si:ch211-51e12.7
mrps10
tulp4a
tmem181
dynlt1
rpl18a
BX890562.2
BX890562.1
AL845512.1
pthlha
xpot
rtcb
fbxo7
CU855889.3
ost4
agbl5
tmem214
mapre3b
dpysl5b
sobpb
si:ch211-152c2.3
aim1b
MRAP2 (1 of many)
mtpn
ripply2
sim1b
xrcc6bp1
rpap3
naga
FQ378018.1
CR548631.1
si:ch211-117i20.2
chrm2a
ptn
phlda1
nap1l1
CABZ01084797.1
CABZ01085702.1
CABZ01085701.1
CABZ01085700.1
trim35-14
TULP3
slc38a4
AL929171.1
slc38a2
scaf11
arid2
CR847994.1
gas2l3
fgfr1op2
tm7sf3
med21
pmpcb
dnajc2
nudt4b
ube2nb
mrpl42
pwp1
CU571163.1
ano6
CU467633.4
si:ch73-177h5.2
FAR2
cpsf6
yeats4
kcnc2
frs2a
si:ch73-278m9.1
cmah
glipr1a
krr1
si:ch73-89b15.3
CABZ01007893.1
zdhhc17
csrp2
e2f7
cog5
gpr22a
dus4l
bcap29
slco1c1
pde3a
aebp2
plekha5
fgd4b
pik3cg
nampta
sypl1
atxn7l1
znf800b
grm8a
si:dkey-61f9.1
CABZ01076534.1
si:dkey-61f9.2
BX005334.1
BX664748.3
gpr37b
TMEM229A
BX664748.2
waslb
lmod2b
asb15b
CT009596.2
CT009596.3
CT009596.1
CR293509.4
CR293509.2
CR293509.6
CR293509.3
CR293509.1
CR293509.5
cd9b
ano2
ntf3
tbc1d30
gnsa
zgc:194209
rassf3
CABZ01020840.1
DGKI
creb3l2
ssbp1
si:ch211-258f14.2
zgc:162331
slc13a4
coa6
ptprz1b
ndufa5
CU468917.1
CU468915.2
CU468915.1
strip2
ahcyl2
tmem209
ccnd2b
tigarb
fgf6b
fgf23
rad51ap1
galnt8b.1
galnt8b.2
cecr1b
atp6v1e1b
si:ch211-214j24.14
ccdc167
si:ch211-214j24.9
si:ch211-214j24.15
si:ch211-214j24.10
osgep
apex1
zgc:113263
si:dkey-14d8.1
SELENOO (1 of many)
si:dkey-14d8.20
si:dkey-14d8.22
zmp:0000001326
mapk11
mapk12b
si:dkey-14d8.6
si:dkey-14d8.7
vegfab
mrps18a
rsph9
tmem63a
FP085435.1
pou3f2a
faxca
ccnc
ngs
pgm3
si:ch73-352p4.8
foxm1
si:ch73-352p4.5
pex26
usp18
lyrm5a
slc5a8
utp20
arl1
BX470140.1
tfec
FP236471.1
MDFIC
CR356233.2
foxp2
ppp1r3aa
si:dkey-112e7.2
gpr85
BX950217.1
tmem168a
ifrd1
dock4b
FO681360.1
FO681360.2
FO681361.1
lrrn3b
CR354372.1
tnni4a
tnnt2e
BX649411.2
BX649411.3
BX649411.5
BX649411.4
BX649411.1
elk3
lta4h
cdk17
si:ch1073-67j19.1
si:ch1073-67j19.2
phyh
ucmaa
mcm10
nudt5
cdc123
camk1da
ccdc3a
optn
si:ch211-240l19.8
si:ch211-240l19.7
si:ch211-240l19.6
wnk1b
si:ch211-240l19.5
ninj2
ERC1 (1 of many)
erc1b
wnt5b
fbxl14b
adipor2
BX842699.1
BX842699.2
BX842699.3
ttll12
pnpla3
sult4a1
mpped1
scube1
samm50l
aldh1l2
si:dkey-48p11.3
slc41a2b
chst11
nfyba
hcfc2
avpr1ab
srgap1b
si:ch211-125a15.1
ipo8
tmtc1
zgc:55888
lmf2b
kitlgb
si:ch73-139j3.4
lsm8
TYMP
shank3b
cdnf
hspa14
dclre1c
meig1
tmem243b
BX901962.3
dmtf1
si:dkey-153k10.9
tspan9b
mical3b
svopl
si:dkeyp-27e10.3
parp12b
ttc41
hsp90b1
glt8d2
fbxo18
adm2a
si:dkey-22l11.6
sbf1
naf1
ccdc136b
CABZ01049280.1
flncb
BX649455.1
kcnd2
tspan12
ing3
cped1
wnt16
stab2
CR383662.1
CR383662.8
CR383662.3
CR383662.5
CR383662.2
ppfibp1a
syt10
si:ch211-161n3.5
si:ch211-161n3.4
si:ch211-161n3.3
tmtc2a
mettl25
ccdc59
si:dkey-21h14.8
si:dkey-21h14.15
si:dkey-21h14.14
si:dkey-21h14.3
si:dkey-21h14.12
si:dkey-21h14.11
BX784029.4
si:dkey-21h14.10
si:dkey-21h14.9
cracr2ab
prmt8b
tspan11
BX784029.3
BX649349.2
BX649349.1
sema3aa
pcloa
pimr173
ankrd16
gdi2
asb13a.1
asb13a.2
net1
BX465862.4
BX465862.5
mkln1
podxl
BX465862.3
cyb5r3
btbd11a
cry1aa
tnnt2c
si:dkey-222f8.3
BX005210.4
BX005210.2
BX005210.3
braf
mrps33
tmem178b
CR792454.2
cnot4b
mkrn1
cecr6
il17ra1a
pimr171
pimr214
pimr170
pimr168
pimr169
rergla
arhgef39
lmo3
mgst1.1
mgst1.2
CR558305.1
dera
helb
irak3
b2m
hmga2
BX119963.4
msrb3
lemd3
wif1
vhll
tmbim4
si:dkey-6a5.3
BX119963.1
BX119963.3
grip1
BX470116.2
BX470116.1
BX511038.1
cand1
si:dkey-39a18.1
dyrk2
BX465210.1
BX465210.2
si:ch211-266a5.12
ifng1-2
ifng1-1
il26
il22
mdm1
calua
opn1sw1
tnpo3
irf5
ccdc87
pnpla8
si:dkeyp-81f3.4
nrcama
cntn1b
pdzrn4
AL929504.1
gxylt1b
pphln1
yaf2
zcrb1
prickle1b
CR786571.7
CR786571.6
CR786571.5
si:dkey-234l24.1
pus7l
si:dkey-234l24.7
CR786571.3
CR786571.4
si:dkey-234l24.8
twf1b
nell2b
prl2
nuak1a
BX571705.1
plxnb2a
plxnb2a.1
si:ch211-127b11.1
si:dkey-183c2.4
abcc9
kcnj8
cmasa
si:dkey-14k9.2
si:dkey-14k9.3
akr1b1
si:dkey-180p18.9
prdm4
psmc2
slc26a5
tspan33a
smo
cax1
klhdc10
zc3hc1
ube2h
nrf1
AL590150.2
BX537358.2
plxna4
chchd3a
exoc4
lrguk
BX004864.1
col7a1l
si:dkey-117n7.2
si:dkey-117n7.3
si:dkey-117n7.4
si:dkey-117n7.5
ucn3l
copg2
mest
CR749763.7
CR749763.9
CR749763.10
CR749763.11
CR749763.8
atp2b1a
si:dkeyp-38g8.5
epyc
kera
lum
dcn
BX322608.1
wu:fc23c09
btg1
caprin2
fam60a
dennd5b
pkp2
tcp11l2
BX649500.3
BX649500.2
BX649500.1
BX649476.1
gys2
si:dkey-13i19.8
golt1ba
spx
kiss2
ldhba
slc25a3a
tmpoa
strap
etnk1
sox5
BX547928.2
BX547928.1
si:dkey-172o10.8
casc1
lrmp
bcat1
igf1
nup37
pmch
parpbp
th2
pah
ascl1a
recql
itfg2
nrip2
klhl42
cwf19l1
ccdc53
dram1
gnptab
chpt1
mybpc1
spi2
spic
dnajb9b
avpr2l
apaf1
anks1b
uhrf1bp1l
plxnc1
BX649503.1
BX649503.2
cradd
socs2
ncaph2
sco2
si:dkey-202b22.5
si:dkey-202b22.6
rint1
BX649398.1
BX649398.3
cdkn1ba
CDPF1
pparaa
BX649425.1
wnt7ba
atxn10
def6c
slc26a4
slc26a3.2
slc26a3.1
cbll1
mcat
bik
mcat.1
rap1b
si:dkey-31f5.8
impdh1b
si:dkey-31f5.11
lepb
si:dkey-21o22.2
BX890545.1
snd1
lrrc4.1
pax4
hgfa
cacna2d1a
drd4-rs
BX855618.1
zgc:193726
atp6v1f
lamtor4
zmp:0000000938
gcc1
dennd6b
ppp6r2a
fam3c
si:dkey-159a18.1
cep83
lrrc17
sinup
ccdc146
fgl2a
gsap
stk38l
cacna2d4a
lrtm2a
cacna2d4a.1
dcp1b
cacna1c
napepld
asun
rassf8b
zmp:0000000650
BX248410.4
BX248410.5
BX248410.3
BX248410.1
BX248410.2
nav3
BX511172.1
syt1a
pawr
ppp1r12a
BX569790.3
rps16
BX569790.1
BX569790.2
myf6
myf5
lin7a
acss3
ppfia2
hcls1
llph
golgb1
guca1a
orc5
lhfpl3
kmt2e
ndufb2
kdm7aa
sema3c
cd36
gnai1
nup107
magi2a
slc35e3
mdm2
AL929141.1
trhde.1
CR394543.1
trhde.2
cpm
BX470106.1
usp6nl
celf2
BX901908.1
BX901908.2
gata3
taf3
atp5c1
kin
itih2
itih5
tmem110l
sfmbt2
prkcq
pfkfb3
rbm17
zgc:195175
acot15
acot14
acot16
acot17
acot18
lamb1b
tmcc3
ndufa12
nr2c1
fgd6
vetz
metap2a
usp44
si:ch211-265o23.1
SCYL2
si:ch211-244b2.3
si:ch211-244b2.4
BX957270.1
BX957270.2
st8sia1
tnni1d
b4galnt3a
CU137645.1
iqsec3a
slc6a1l
creld2
alg12
zbed4
brd1a
fam19a5a
tbc1d22a
cerk
gramd4a
celsr1a
trmu
si:ch73-263o4.3
si:ch73-263o4.4
tprkb
alg10
znf1067
znf1041
si:ch73-289h5.5
si:ch73-289h5.4
CABZ01050663.1
CABZ01050665.1
znf1059
zgc:174315
si:dkey-23a23.3
CR387997.2
si:dkey-13e3.1
CR387997.1
si:dkey-23a23.2
CR388132.4
CR388132.2
CR388132.1
CR388132.5
ZNF189 (1 of many)
si:dkey-23a23.1
CR382372.1
CR382372.2
CR847895.3
znf1140
CR847895.1
CR847895.2
CR847895.4
BX248122.2
si:ch211-214c20.1
si:dkey-191j3.2
BX248122.1
znf1119
BX530097.1
si:dkey-191j3.1
znf1121
BX323023.2
si:ch211-231i17.3
si:ch211-231i17.4
BX322597.2
BX323023.1
znf1111
BX322597.1
znf1128
si:dkey-265e15.5
si:rp71-7l19.2
BX323560.1
si:dkey-265e15.2
si:dkey-233e3.3
si:dkey-199m13.7
znf1047
znf1083
si:dkey-199m13.4
CR383668.2
znf1114
si:dkey-199m13.5
CR383668.1
znf1052
CR383668.4
CR383668.5
CABZ01008480.1
CABZ01001463.1
CABZ01001464.1
CU302413.2
zgc:173619
CU207245.1
zgc:172014
si:dkey-178j11.5
znf1099
si:dkey-11n14.1
BX649620.2
si:dkey-47k16.4
BX649620.1
ZNF70 (1 of many)
BX571711.3
BX571711.2
BX571711.5
BX571711.4
zgc:173720
si:dkey-57l19.1
znf996
si:rp71-5o12.3
BX548173.1
BX548173.2
BX548173.5
BX548173.6
si:dkey-265e15.5.1
si:dkey-19c16.12
si:dkey-16p6.1
BX649267.1
si:dkey-72l17.5
BX649328.2
BX649328.4
BX649328.3
si:dkey-72l17.6
CR450785.1
CR450785.2
BX005268.3
BX005268.1
zgc:174698
BX005268.2
BX571878.1
si:dkey-16p6.1.1
znf1085
BX571878.2
si:dkey-265e7.1
zmp:0000000989
znf1042
BX324003.5
BX324003.3
BX324003.2
BX324003.1
si:dkey-16p6.1.2
BX324003.4
BX511182.1
si:dkey-26h11.2
si:dkey-26h11.1
si:dkeyp-4f2.1
znf1112
CR759833.1
si:dkeyp-4f2.6
si:ch211-162i8.4
si:dkey-247i3.6
znf1090
si:dkey-247i3.5
znf1000
znf1055
znf1065
si:dkeyp-4f2.3
si:dkeyp-4f2.3.1
si:dkey-247i3.1
CT027801.2
CT027801.1
si:dkey-84h14.4
si:dkey-84h14.2
si:dkey-84h14.1
si:ch211-197f20.1
znf985
si:dkey-28i19.3
FO681350.1
CABZ01060110.1
CABZ01060112.1
CT737138.1
BX324179.1
BX324179.2
BX324179.3
si:ch211-39d8.1
BX324179.4
si:ch211-246b8.5
si:ch211-246b8.1
si:ch211-246b8.2
si:ch211-64i20.3
si:dkeyp-51g9.4
CR847504.2
pimr168.1
AL645691.2
AL645691.1
si:dkey-146m20.14
si:dkey-146m20.13
BX901954.1
CR812792.1
CR388228.2
CR388228.3
CR388228.4
si:dkey-279j5.1
si:dkey-269p2.1
si:ch211-276i6.1
BX000703.1
zgc:174698.1
CR792455.1
